"id","code","name"
1198,A01110,곡물 및 기타 식량작물 재배업
1199,A01121,채소작물 재배업
1200,A01122,화훼작물 재배업
1201,A01123,종자 및 묘목 생산업
1202,A01131,과실작물 재배업
1203,A01132,음료용 및 향신용 작물 재배업
1204,A01140,기타 작물 재배업
1205,A01151,"채소, 화훼 및 과실작물 시설 재배업"
1206,A01159,기타 시설작물 재배업
1207,A01211,젖소 사육업
1208,A01212,육우 사육업
1209,A01220,양돈업
1210,A01231,양계업
1211,A01239,기타 가금류 및 조류 사육업
1212,A01291,말 및 양 사육업
1213,A01299,그 외 기타 축산업
1214,A01300,작물재배 및 축산 복합농업
1215,A01411,작물재배 지원 서비스업
1216,A01412,"농산물 건조, 선별 및 기타 수확 후 서비스업"
1217,A01420,축산 관련 서비스업
1218,A01500,수렵 및 관련 서비스업
1219,A02011,임업용 종묘 생산업
1220,A02012,육림업
1221,A02020,벌목업
1222,A02030,임산물 채취업
1223,A02040,임업 관련 서비스업
1224,A03111,원양 어업
1225,A03112,연근해 어업
1226,A03120,내수면 어업
1227,A03211,해수면 양식 어업
1228,A03212,내수면 양식 어업
1229,A03213,수산물 부화 및 수산종자 생산업
1230,A03220,어업 관련 서비스업
1231,B05100,석탄 광업
1232,B05200,원유 및 천연가스 채굴업
1233,B06100,철 광업
1234,B06200,비철금속 광업
1235,B07110,석회석 및 점토 광업
1236,B07121,건설용 석재 채굴 및 쇄석 생산업
1237,B07122,모래 및 자갈 채취업
1238,B07210,화학용 및 비료원료용 광물 광업
1239,B07220,천일염 생산 및 암염 채취업
1240,B07290,그 외 기타 비금속광물 광업
1241,B08000,광업 지원 서비스업
1242,C10111,육류 도축업(가금류 제외)
1243,C10112,가금류 도축업
1244,C10121,가금류 가공 및 저장 처리업
1245,C10122,육류 포장육 및 냉동육 가공업 (가금류 제외)
1246,C10129,육류 기타 가공 및 저장처리업 (가금류 제외)
1247,C10211,"수산동물 훈제, 조리 및 유사 조제식품 제조업"
1248,C10212,수산동물 건조 및 염장품 제조업
1249,C10213,수산동물 냉동품 제조업
1250,C10219,기타 수산동물 가공 및 저장 처리업
1251,C10220,수산식물 가공 및 저장 처리업
1252,C10301,김치류 제조업
1253,C10302,과실 및 그 외 채소 절임식품 제조업
1254,C10309,기타 과실ㆍ채소 가공 및 저장 처리업
1255,C10411,동물성 유지 제조업
1256,C10412,식물성 유지 제조업
1257,C10413,식용 정제유 및 가공유 제조업
1258,C10421,액상시유 및 기타 낙농제품 제조업
1259,C10422,아이스크림 및 기타 식용빙과류 제조업
1260,C10511,곡물 도정업
1261,C10512,곡물 제분업
1262,C10513,곡물 혼합분말 및 반죽 제조업
1263,C10519,기타 곡물 가공품 제조업
1264,C10520,전분제품 및 당류 제조업
1265,C10601,떡류 제조업
1266,C10602,빵류 제조업
1267,C10603,과자류 및 코코아 제품 제조업
1268,C10701,도시락류 제조업
